Crop,ID,Unique_ID,State,Treatment,Stem_Length_cm,Leaf_Vein_mm,Leaf_Count,Leaf_Width_mm,Root_Length_mm,Node_Count,Fresh_Mass_g,Fruited,Flowered,Root.Nodules.Present,Stem_Diameter_mm,Root_count,Dry_Mass_g,Dry_Root_Mass_g,Notes
Eggplant,35,Eggplant 35,Dead,Water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murió
Eggplant,36,Eggplant 36,Harvested,Triple15,25,87.25,4,59.65,85,3,5.9,NA,NA,NA,NA,NA,989.9,293.3,
Eggplant,37,Eggplant 37,Harvested,Triple15,26.5,84.85,4,56.2,135,3,7.1,NA,NA,NA,NA,NA,1387.2,574.7,
Eggplant,38,Eggplant 38,Harvested,Triple15,26,81.7,4,55.15,131,3,6,NA,NA,NA,NA,NA,1205.5,667,
Eggplant,39,Eggplant 39,Harvested,Triple15,23,77.05,4,61.4,125,5,6.7,NA,NA,NA,NA,NA,1089.3,400.3,
Eggplant,40,Eggplant 40,Harvested,Triple15,21.5,77.05,4,52.65,75,4,4.8,NA,NA,NA,NA,NA,729,182.5,
Eggplant,41,Eggplant 41,Harvested,Extract,20,72,7,53.5,134.5,8,6.4,NA,NA,NA,NA,NA,1039.3,315.9,
Eggplant,42,Eggplant 42,Harvested,Extract,24,81.5,4,57.343,135,6,4.9,NA,NA,NA,NA,NA,949.3,286,
Eggplant,43,Eggplant 43,Harvested,Extract,24.7,76,7,50,133,6,6.4,NA,NA,NA,NA,NA,1105.5,421.6,
Eggplant,44,Eggplant 44,Harvested,Extract,18,74.95,4,57.5,136,6,6.7,NA,NA,NA,NA,NA,1217.7,477.2,
Eggplant,45,Eggplant 45,Harvested,Extract,27.5,91.35,4,56.2,145,6,6.7,NA,NA,NA,NA,NA,968.5,264.6,
Eggplant,46,Eggplant 46,Harvested,Optimar,16,67.15,8,48.95,110,7,6,NA,NA,NA,NA,NA,855.3,255.6,
Eggplant,47,Eggplant 47,Harvested,Optimar,22.5,89,5,58.3,135,6,6.7,NA,NA,NA,NA,NA,1061.2,351.6,
Eggplant,48,Eggplant 48,Harvested,Optimar,23.5,92.1,4,65.1,136,4,7.7,NA,NA,NA,NA,NA,1098.7,357.6,
Eggplant,49,Eggplant 49,Harvested,Optimar,24,67.7,9,47.4,111,7,6,NA,NA,NA,NA,NA,866.9,230.7,
Eggplant,50,Eggplant 50,Harvested,Optimar,23,79.1,4,53.65,125,3,5.7,NA,NA,NA,NA,NA,911.9,252.2,
